"t";"hare";"lynx"
0.4;1.24291109897217;0.837622940570727
0.9;1.68807040476787;0.730186040703625
1.4;2.32490424361183;0.728262902653468
1.9;3.15024539253791;0.872944526662595
2.4;3.99215083098616;1.29771135895353
2.9;4.27768653495321;2.25883673704748
3.4;3.36853678566532;3.64971167617016
3.9;1.99976743380275;4.30657527382279
4.4;1.17243920947545;3.83304922804728
4.9;0.82537491118521;2.96358178045276
5.4;0.718746925574972;2.17266804051162
5.9;0.744550492523385;1.57870444838881
6.4;0.873660050475976;1.16969751850368
6.9;1.11403590489598;0.907238833332374
7.4;1.49447841947597;0.759878971302308
7.9;2.05356647437755;0.715200812119319
8.4;2.81251510553399;0.793806066531726
8.9;3.68893174732813;1.08512164481617
9.4;4.28805973940073;1.8075561805046
9.9;3.8547750823548;3.11863355858913
10.4;2.49311627389775;4.20784852348507
10.9;1.42005561799713;4.10645179116821
11.4;0.92134862364343;3.30673342245832
11.9;0.740876535329665;2.45784764139544
12.4;0.721772343955082;1.7852631856197
12.9;0.81138248268543;1.308795594013
13.4;1.00611069114007;0.993968159018038
13.9;1.32787621173506;0.804694053280587
14.4;1.81320778747662;0.720014629625708
14.9;2.49564963013294;0.74517742987173
15.4;3.35002659007262;0.936329762229029
15.9;4.13454673258583;1.45709874393443
16.4;4.18102294898396;2.56044504653798
16.9;3.04823173195174;3.90582052568093
17.4;1.75814138046741;4.27676461507153
17.9;1.06336140290041;3.64769119689623
18.4;0.786209531200575;2.77149346233063
18.9;0.71487442250408;2.02177380053987
19.4;0.764661721364023;1.47218568143423
19.9;0.917133292230699;1.09941768502867
